arm,ood_type,auroc,in_mean,ood_mean,n_in,n_ood,ckpt_src
vanilla,gaussian,1.0,13.048,232.884,2000,2000,ema
vanilla,uniform,1.0,13.048,232.411,2000,2000,ema
vanilla,wrong_label,0.4924,13.048,13.073,2000,2000,ema
vanilla,patch_shuffle,0.8185,13.048,26.687,2000,2000,ema
v10_l01,gaussian,1.0,13.577,232.916,2000,2000,ema
v10_l01,uniform,1.0,13.577,232.202,2000,2000,ema
v10_l01,wrong_label,0.4994,13.577,13.677,2000,2000,ema
v10_l01,patch_shuffle,0.7704,13.577,24.123,2000,2000,ema
v10_l03,gaussian,1.0,14.43,233.136,2000,2000,ema
v10_l03,uniform,1.0,14.43,232.616,2000,2000,ema
v10_l03,wrong_label,0.5003,14.43,14.554,2000,2000,ema
v10_l03,patch_shuffle,0.7255,14.43,23.819,2000,2000,ema
