label_q,n_good,n_garbage,score,raw_auroc,within_norm_auroc,n_usable_bins,orientation,category
0.2,600,600,s1,0.5010,0.6128,5,-1,independent
0.2,600,600,s2,0.5566,0.5446,5,-1,norm-coupled
0.2,600,600,s3,0.5704,0.6157,5,1,independent
0.2,600,600,s4,0.5977,0.6349,5,1,sanity
0.2,600,600,s5,0.5566,0.5446,5,-1,norm-coupled
0.25,750,750,s1,0.5053,0.6086,5,-1,independent
0.25,750,750,s2,0.5480,0.5385,5,-1,norm-coupled
0.25,750,750,s3,0.5678,0.6046,5,1,independent
0.25,750,750,s4,0.5918,0.6267,5,1,sanity
0.25,750,750,s5,0.5480,0.5385,5,-1,norm-coupled
0.3,900,900,s1,0.5069,0.6019,5,-1,independent
0.3,900,900,s2,0.5442,0.5389,5,-1,norm-coupled
0.3,900,900,s3,0.5660,0.5982,5,1,independent
0.3,900,900,s4,0.5833,0.6141,5,1,sanity
0.3,900,900,s5,0.5442,0.5389,5,-1,norm-coupled
0.35,1050,1050,s1,0.5157,0.6019,5,-1,independent
0.35,1050,1050,s2,0.5338,0.5390,5,-1,norm-coupled
0.35,1050,1050,s3,0.5699,0.6002,5,1,independent
0.35,1050,1050,s4,0.5770,0.6029,5,1,sanity
0.35,1050,1050,s5,0.5338,0.5390,5,-1,norm-coupled
