checkpoint_type,sampler,step_mult,auc_log_fid,auc_linear_fid,auc_log_kid,low_nfe_mean_fid,low_nfe_mean_kid,fid_at_250_default,best_fid_over_grid,best_condition,stress_mean_fid,stress_mean_kid
vanilla,gd,0.5,285.8688736234591,206.68678625898306,0.3296298259592549,370.08951788666354,0.4397484739824125,,46.51271606844063,vanilla_gd_nfe250_step0.5,,
vanilla,gd,1.0,215.50433937850735,113.06049197318421,0.2453562900743081,324.30937914185216,0.3788094607126115,45.7159691227709,45.7159691227709,vanilla_gd_nfe250_step1.0,,
vanilla,gd,1.5,166.16176041110802,83.05419378332068,0.182443575032585,252.55518626714874,0.28862235760484695,,45.90954826777545,vanilla_gd_nfe250_step1.5,,
vanilla,gd,2.0,142.5116085247119,73.48661650610364,0.1522617028000066,222.6689905713359,0.252730859836812,,46.43418880306689,vanilla_gd_nfe250_step2.0,,
vanilla,ngd,0.5,285.2660553231743,205.8375181352966,0.32863129545640035,369.85160743004013,0.4392166405272721,,46.41443198223806,vanilla_ngd_nfe250_step0.5,,
vanilla,ngd,1.0,214.38323236989285,112.188165183224,0.24345475595871424,322.83857851208853,0.3762998758924349,45.44642489544776,45.44642489544776,vanilla_ngd_nfe250_step1.0,,
vanilla,ngd,1.5,164.78007541438936,82.1019575458649,0.1801337777796104,250.8757901502132,0.285804926960582,,45.46366200190721,vanilla_ngd_nfe250_step1.5,,
vanilla,ngd,2.0,140.26092467651918,72.18501871014044,0.14877394485606088,219.87554696085007,0.24825304790912864,,45.83126814412293,vanilla_ngd_nfe250_step2.0,,
anm,gd,0.5,285.907739781412,206.45420364631056,0.3298331343155172,370.3070092904772,0.44021876773823326,,44.60017360149243,anm_gd_nfe250_step0.5,,
anm,gd,1.0,215.03251374624273,111.77490100868769,0.24487261234163926,324.7956096217642,0.3795736409213992,43.80906622722665,43.80906622722665,anm_gd_nfe250_step1.0,,
anm,gd,1.5,164.9533837711594,81.20403242253764,0.1809945290262474,251.91994928044832,0.28794988592260895,,43.95973152518064,anm_gd_nfe250_step1.5,,
anm,gd,2.0,141.4488682071407,71.5979110069565,0.15101114156257903,222.3469085488783,0.2525082379864683,,44.532273176122544,anm_gd_nfe250_step2.0,,
anm,ngd,0.5,285.3044171383633,205.6026886230573,0.32882053150317364,370.074069051665,0.43968628476315824,,44.504314008992765,anm_ngd_nfe250_step0.5,,
anm,ngd,1.0,213.92029891325652,110.96105872167495,0.24301473702470872,323.2708569655436,0.37702210312152956,43.66409044077511,43.66409044077511,anm_ngd_nfe250_step1.0,,
anm,ngd,1.5,163.68848211356757,80.4169685113607,0.17884417881555414,250.29336816113002,0.28521957966524725,,43.70591679817903,anm_ngd_nfe250_step1.5,,
anm,ngd,2.0,139.4174879436389,70.6771200842547,0.14772088866678432,219.6102858363529,0.24804362455819007,,44.13951900080701,anm_ngd_nfe100_step2.0,,
vanilla,gd,ALL,202.5116454844466,119.0720221303979,0.22742284846653865,292.4057684667501,0.3399777880341708,,45.7159691227709,vanilla_gd_nfe250_step1.0,237.61208841924227,0.27067660872082944
vanilla,ngd,ALL,201.17257194599392,118.07816489363148,0.22524844351269646,290.860380763298,0.3373936228223544,,45.44642489544776,vanilla_ngd_nfe250_step1.0,235.37566855553163,0.2670289874348553
anm,gd,ALL,201.8356263764887,117.7577620211231,0.22667785431149573,292.342369185392,0.34006263314217744,,43.80906622722665,anm_gd_nfe250_step1.0,237.1334289146633,0.27022906195453866
anm,ngd,ALL,200.58267152720657,116.91445898508691,0.2246000840025552,290.8121450036729,0.3374928980270313,,43.66409044077511,anm_ngd_nfe250_step1.0,234.95182699874144,0.26663160211171866
