round	candidate	metric	status	description	git_sha	timestamp
1	1	0.045237	BASELINE	1-epoch baseline (no mining)	0ada2dc	2026-03-31T19:05:00Z
2	3	0.016082	WINNER	mining L_weak + larger epsilon (0.1 → 0.3)	aef6c36	2026-03-31T22:00:00Z
3	3	0.013018	WINNER	stronger gamma (0.5 → 1.0)	cd8facb	2026-04-01T00:00:00Z
4	1	0.010786	WINNER	gamma 1.0 → 2.0	709bb0a	2026-04-01T02:00:00Z
5	5	0.007221	WINNER	lr 1e-4 → 5e-5	971b95a	2026-04-01T04:00:00Z
6	1	0.006237	SKIP	gamma=4.0 + lr=5e-5	09045a6	2026-04-01T06:00:00Z
6	2	0.004476	SKIP	lr=2e-5	09045a6	2026-04-01T06:00:00Z
6	3	0.003685	WINNER	batch_size 128 → 256	09045a6	2026-04-01T06:00:00Z
6	4	0.007231	SKIP	k=20	09045a6	2026-04-01T06:00:00Z
6	5	0.007369	SKIP	c_a 0.8 → 0.9	09045a6	2026-04-01T06:00:00Z
